1,2,3,4,5,6,7,8,9,,,,,,
,,,1951," 1,361,831 ","+53,775    ",+4.11          ," 640,184 "," 721,647 ",,,,,,
,,,1961," 1,587,461 ","+225,630    ",+16.57          ," 758,688 "," 828,773 ",,,,,,
,,,1971," 1,944,844 ","+357,383    ",+22.51          ," 950,879 "," 993,965 ",,,,,,
,,,1981," 2,267,628 ","+322,784    ",+16.60          ," 1,115,643 "," 1,151,985 ",,,,,,
,,,1991," 2,704,056 ","+436,428    ",+19.25          ," 1,348,042 "," 1,356,014 ",,,,,,
,,,2001," 3,160,635 ","+456,579    ",+16.88          ," 1,581,986 "," 1,578,649 ",,,,,,
,,,2011," 3,529,031 ","+368,396    ",+11.66          ," 1,779,218 "," 1,749,813 ",,,,,,
,,,,,,,,,,,,,,
21,389,Gajapati,1901," 184,840 ",                       --- ,                    --- ," 87,212 "," 97,628 ",,,,,,
,,,1911," 205,514 ","+20,674    ",+11.18          ," 95,187 "," 110,327 ",,,,,,
,,,1921," 198,842 ","-6,672 ",-3.25 ," 89,444 "," 109,398 ",,,,,,
,,,1931," 225,161 ","+26,319    ",+13.24          ," 102,786 "," 122,375 ",,,,,,
,,,1941," 252,613 ","+27,452    ",+12.19          ," 116,458 "," 136,155 ",,,,,,
,,,1951," 262,998 ","+10,385    ",+4.11          ," 128,876 "," 134,122 ",,,,,,
,,,1961," 285,069 ","+22,071    ",+8.39          ," 140,641 "," 144,428 ",,,,,,
,,,1971," 348,964 ","+63,895    ",+22.41          ," 172,281 "," 176,683 ",,,,,,
,,,1981," 402,271 ","+53,307    ",+15.28          ," 198,877 "," 203,394 ",,,,,,
,,,1991," 454,708 ","+52,437    ",+13.04          ," 224,329 "," 230,379 ",,,,,,
,,,2001," 518,837 ","+64,129    ",+14.10          ," 255,423 "," 263,414 ",,,,,,
,,,2011," 577,817 ","+58,980    ",+11.37          ," 282,882 "," 294,935 ",,,,,,
,,,,,,,,,,,,,,
21,390,Kandhamal,1901," 211,421 ",                       --- ,                    --- ," 105,038 "," 106,383 ",,,,,,
,,,1911," 239,272 ","+27,851    ",+13.17          ," 118,857 "," 120,415 ",,,,,,
,,,1921," 238,206 ","-1,066 ",-0.45 ," 118,063 "," 120,143 ",,,,,,
,,,1931," 260,557 ","+22,351    ",+9.38          ," 128,876 "," 131,681 ",,,,,,
,,,1941," 284,855 ","+24,298    ",+9.33          ," 140,947 "," 143,908 ",,,,,,
,,,1951," 289,182 ","+4,327    ",+1.52          ," 142,784 "," 146,398 ",,,,,,
